股票代码,股票简称,最新价,最新涨跌幅,个股热度[20251128],个股热度排名[20251128],market_code,code
300885.SZ,海昌新材,22.6,14.141414141,30503.5,257,33,300885
002208.SZ,合肥城建,11.18,4.87804878,30476.0,258,33,002208
300726.SZ,宏达电子,43.45,14.312023152,30265.5,259,33,300726
605303.SH,园林股份,23.16,10.023752969,30134.0,260,17,605303
688244.SH,永信至诚,24.66,20,30060.5,261,17,688244
600078.SH,澄星股份,11.82,5.913978495,29808.0,262,17,600078
688110.SH,东芯股份,130,-2.999552306,29748.0,263,17,688110
000797.SZ,中国武夷,3.53,4.437869822,29705.0,264,33,000797
603815.SH,交建股份,12.16,10.045248869,29456.0,265,17,603815
002178.SZ,延华智能,7.41,0.679347826,29442.0,266,33,002178
300438.SZ,鹏辉能源,58.02,5.108695652,29318.0,267,33,300438
600685.SH,中船防务,29.86,-0.599201065,29271.5,268,17,600685
002495.SZ,佳隆股份,3.07,0.326797386,29192.5,269,33,002495
000938.SZ,紫光股份,24.92,0.483870968,29088.0,270,33,000938
002983.SZ,芯瑞达,21.68,9.994926433,28939.5,271,33,002983
600516.SH,方大炭素,6.4,1.748807631,28936.0,272,17,600516
600403.SH,大有能源,8.1,0.997506234,28875.0,273,17,600403
002976.SZ,瑞玛精密,28.44,10.01934236,28851.0,274,33,002976
603626.SH,科森科技,13.16,0.304878049,28805.0,275,17,603626
300490.SZ,华自科技,13.99,7.450076805,28643.0,276,33,300490
000785.SZ,居然智家,3.05,0.328947368,28511.5,277,33,000785
002251.SZ,步步高,5.46,0.552486188,28449.5,278,33,002251
000701.SZ,厦门信达,7.2,1.265822785,28297.0,279,33,000701
000407.SZ,胜利股份,5.03,0.801603206,28266.0,280,33,000407
601006.SH,大秦铁路,5.48,-0.54446461,28260.0,281,17,601006
001233.SZ,海安集团,71.21,-4.249025145,28176.0,282,33,001233
000546.SZ,金圆股份,6.32,6.040268456,28115.5,283,33,000546
300471.SZ,厚普股份,13.93,11.618589744,28103.0,284,33,300471
